KEY;Russian (Latin letters)
tours_action_bar_edit_cargospace;Redaktirovat' gruzovoye prostranstvo
tours_action_bar_finished;Zadachi vypolneny
tours_action_bar_info;Zadachi - informatsiya
tours_action_bar_marcolocation;Zadachja - Makrolokatsiya
tours_action_bar_pending;Zadachi nakhodyatsya na rassmotrenii
tours_action_bar_sscc_codes;Kody SSCC
tours_action_bar_stop;Tury - Ostanovka
tours_bottom_menu_active;Aktivnyy
tours_bottom_menu_finished;Zakonchennyy
tours_bottom_menu_pending;V ozhidanii
tours_bottom_menu_work_overview;Informatsiya
tours_list_item_finished;Zakonchennyi
tours_list_item_new;Novyi
tours_list_item_updated;Obnovleno
trailco_container_not_set;Net konteynera
trailco_couple;Podkliuchit
trailco_load;Pogruzka
trailco_search;Iskat
trailco_trailer_not_set;Net pricepa
trailco_uncouple;Otklyuchit
trailco_unload;Razgruzka
type;Tip
unread_messages_count;Novye soobshcheniya: %1$d
urgent_messages_count;Srochnyie soobshcheniya: %1$d
wrkplc_check_wrkplc_as_driver;Zaregistrirovatsya kak voditel
wrkplc_hint_search_workplcae;Poisk rabochego mesta
wrkplc_label_active_workers;Aktivnyye sotrudniki
wrkplc_label_coffee_break;Kofe-breyk
wrkplc_label_coworkers;Sotrudniki
wrkplc_label_finish_work;Konets raboty
wrkplc_label_info;informatsiya
wrkplc_label_info_subtext;Dopolnitelnaya informatsiya
wrkplc_label_login_with_pin;Voydite s PIN-kodam
wrkplc_label_logoff;Vyyti
wrkplc_label_logon;Zaregistrirovatsya
wrkplc_label_navigation;navigatsiya
wrkplc_label_navigation_subtext;Otkryt navigatsiyu
wrkplc_label_pause;pauza
wrkplc_label_start_work;Nachalo raboty
wrkplc_label_wrkplc_info;Informatsiya o rabochem meste
yes;Da
